Alciston, Country: United Kingdom, WOEID: 10528, Administrative:, England (Country), East Sussex (County), Localities:, Alciston, Postal BN26 6 (Postal Code), Location (lat/lon):, 50.834221, 0.141970, Bounding Box:, NE 50.843578, 0.169350, SW 50.818642, 0.129850, , 
Caneheath, Country: United Kingdom, WOEID: 15030, Administrative:, England (Country), East Sussex (County), Localities:, Caneheath, Postal BN26 6 (Postal Code), Location (lat/lon):, 50.846241, 0.208270, Bounding Box:, NE 50.849152, 0.216200, SW 50.840050, 0.201800, , 
Carters Corner, Country: United Kingdom, WOEID: 15299, Administrative:, England (Country), East Sussex (County), Localities:, Carters Corner, Postal BN27 4 (Postal Code), Location (lat/lon):, 50.889172, 0.287550, Bounding Box:, NE 50.893711, 0.294750, SW 50.884609, 0.280330, , 
Castle Hill, Country: United Kingdom, WOEID: 15352, Administrative:, England (Country), East Sussex (County), Localities:, Castle Hill, Postal TN6 3 (Postal Code), Location (lat/lon):, 51.029781, 0.209920, Bounding Box:, NE 51.035549, 0.222230, SW 51.026451, 0.207770, , 
Chalvington, Country: United Kingdom, WOEID: 15597, Administrative:, England (Country), East Sussex (County), Localities:, Chalvington, Postal BN27 3 (Postal Code), Location (lat/lon):, 50.864128, 0.159770, Bounding Box:, NE 50.868992, 0.166330, SW 50.859890, 0.151930, , 
Chapel Cross, Country: United Kingdom, WOEID: 15613, Administrative:, England (Country), East Sussex (County), Localities:, Chapel Cross, Postal TN21 9 (Postal Code), Location (lat/lon):, 50.961761, 0.297610, Bounding Box:, NE 50.966110, 0.305380, SW 50.957008, 0.290940, , 
Chelwood Gate, Country: United Kingdom, WOEID: 15794, Administrative:, England (Country), East Sussex (County), Localities:, Chelwood Gate, Postal RH17 7 (Postal Code), Location (lat/lon):, 51.050751, 0.018760, Bounding Box:, NE 51.060730, 0.050200, SW 51.027729, 0.000910, , 
Chiddingly, Country: United Kingdom, WOEID: 15880, Administrative:, England (Country), East Sussex (County), Localities:, Chiddingly, Postal BN8 6 (Postal Code), Location (lat/lon):, 50.907269, 0.194840, Bounding Box:, NE 50.926472, 0.210520, SW 50.902340, 0.181010, , 
Chuck Hatch, Country: United Kingdom, WOEID: 16028, Administrative:, England (Country), East Sussex (County), Localities:, Chuck Hatch, Postal TN7 4 (Postal Code), Location (lat/lon):, 51.078930, 0.102400, Bounding Box:, NE 51.083481, 0.109630, SW 51.074379, 0.095150, , 
Coggins Mill, Country: United Kingdom, WOEID: 16529, Administrative:, England (Country), East Sussex (County), Localities:, Coggins Mill, Postal TN20 6 (Postal Code), Location (lat/lon):, 51.027191, 0.280100, Bounding Box:, NE 51.030048, 0.283330, SW 51.020950, 0.268870, , 
Colemans Hatch, Country: United Kingdom, WOEID: 16595, Administrative:, England (Country), East Sussex (County), Localities:, Colemans Hatch, Postal TN7 4 (Postal Code), Location (lat/lon):, 51.082211, 0.071540, Bounding Box:, NE 51.086960, 0.078540, SW 51.077862, 0.064060, , 
Coopers Green, Country: United Kingdom, WOEID: 16816, Administrative:, England (Country), East Sussex (County), Localities:, Coopers Green, Postal TN22 3 (Postal Code), Location (lat/lon):, 50.991138, 0.104020, Bounding Box:, NE 50.992149, 0.106420, SW 50.983051, 0.091980, , 
Cousley Wood, Country: United Kingdom, WOEID: 17028, Administrative:, England (Country), East Sussex (County), Localities:, Cousley Wood, Postal TN5 6 (Postal Code), Location (lat/lon):, 51.076351, 0.356890, Bounding Box:, NE 51.080841, 0.363730, SW 51.071739, 0.349270, , 
Cowbeech, Country: United Kingdom, WOEID: 17058, Administrative:, England (Country), East Sussex (County), Localities:, Cowbeech, Postal BN27 4 (Postal Code), Location (lat/lon):, 50.906971, 0.301370, Bounding Box:, NE 50.912258, 0.308960, SW 50.903160, 0.294540, , 
Cross in Hand, Country: United Kingdom, WOEID: 17441, Administrative:, England (Country), East Sussex (County), Localities:, Cross in Hand, Postal TN21 0 (Postal Code), Location (lat/lon):, 50.973572, 0.225750, Bounding Box:, NE 50.977928, 0.230880, SW 50.968830, 0.216440, , 
Crowborough, Country: United Kingdom, WOEID: 17500, Administrative:, England (Country), East Sussex (County), Localities:, Crowborough, Location (lat/lon):, 51.055401, 0.171250, Bounding Box:, NE 51.100731, 0.197790, SW 51.038582, 0.101940, , 
Danehill, Country: United Kingdom, WOEID: 17910, Administrative:, England (Country), East Sussex (County), Localities:, Danehill, Postal RH17 7 (Postal Code), Location (lat/lon):, 51.031429, 0.002550, Bounding Box:, NE 51.053020, 0.014150, SW 51.009651, -0.019720, , 
Downash, Country: United Kingdom, WOEID: 18397, Administrative:, England (Country), East Sussex (County), Localities:, Downash, Postal BN27 2 (Postal Code), Location (lat/lon):, 50.847672, 0.276390, Bounding Box:, NE 50.852150, 0.279300, SW 50.843048, 0.264900, , 
Duddleswell, Country: United Kingdom, WOEID: 18572, Administrative:, England (Country), East Sussex (County), Localities:, Duddleswell, Postal TN22 3 (Postal Code), Location (lat/lon):, 51.033260, 0.092160, Bounding Box:, NE 51.038849, 0.102530, SW 51.029751, 0.088070, , 
Durgates, Country: United Kingdom, WOEID: 18759, Administrative:, England (Country), East Sussex (County), Localities:, Durgates, Postal TN5 6 (Postal Code), Location (lat/lon):, 51.066639, 0.327060, Bounding Box:, NE 51.071491, 0.333520, SW 51.062389, 0.319060, , 
East Hoathly, Country: United Kingdom, WOEID: 19000, Administrative:, England (Country), East Sussex (County), Localities:, East Hoathly, Postal BN8 6 (Postal Code), Location (lat/lon):, 50.925240, 0.163260, Bounding Box:, NE 50.948761, 0.184540, SW 50.907619, 0.146590, , 
East Dean, Country: United Kingdom, WOEID: 19149, Administrative:, England (Country), East Sussex (County), Localities:, East Dean, Location (lat/lon):, 50.762959, 0.207510, Bounding Box:, NE 50.772911, 0.229690, SW 50.743980, 0.195500, , 
Eridge Green, Country: United Kingdom, WOEID: 19659, Administrative:, England (Country), East Sussex (County), Localities:, Eridge Green, Postal TN3 9 (Postal Code), Location (lat/lon):, 51.095829, 0.216970, Bounding Box:, NE 51.103222, 0.230550, SW 51.094120, 0.216070, , 
Exceat, Country: United Kingdom, WOEID: 19789, Administrative:, England (Country), East Sussex (County), Localities:, Exceat, Postal BN25 4 (Postal Code), Location (lat/lon):, 50.775150, 0.152660, Bounding Box:, NE 50.779701, 0.159850, SW 50.770599, 0.145470, , 
Fairwarp, Country: United Kingdom, WOEID: 19874, Administrative:, England (Country), East Sussex (County), Localities:, Fairwarp, Postal TN22 3 (Postal Code), Location (lat/lon):, 51.020180, 0.094930, Bounding Box:, NE 51.023579, 0.095080, SW 51.014481, 0.080620, , 
Filching, Country: United Kingdom, WOEID: 20164, Administrative:, England (Country), East Sussex (County), Localities:, Filching, Postal BN26 5 (Postal Code), Location (lat/lon):, 50.805439, 0.225460, Bounding Box:, NE 50.808449, 0.228490, SW 50.799351, 0.214110, , 
Five Ash Down, Country: United Kingdom, WOEID: 20257, Administrative:, England (Country), East Sussex (County), Localities:, Five Ash Down, Postal TN22 4 (Postal Code), Location (lat/lon):, 51.002201, 0.107490, Bounding Box:, NE 51.006760, 0.114690, SW 50.997662, 0.100250, , 
Five Ashes, Country: United Kingdom, WOEID: 20258, Administrative:, England (Country), East Sussex (County), Localities:, Five Ashes, Postal TN20 6 (Postal Code), Location (lat/lon):, 51.006611, 0.219860, Bounding Box:, NE 51.018261, 0.238910, SW 50.987671, 0.198540, , 
Fletching, Country: United Kingdom, WOEID: 20307, Administrative:, England (Country), East Sussex (County), Localities:, Fletching, Postal TN22 3 (Postal Code), Location (lat/lon):, 50.992359, 0.035240, Bounding Box:, NE 51.006470, 0.046280, SW 50.969559, 0.019230, , 
Folkington, Country: United Kingdom, WOEID: 20363, Administrative:, England (Country), East Sussex (County), Localities:, Folkington, Postal BN26 5 (Postal Code), Location (lat/lon):, 50.813210, 0.212190, Bounding Box:, NE 50.818321, 0.219880, SW 50.809219, 0.205500, , 
Forest Row, Country: United Kingdom, WOEID: 20437, Administrative:, England (Country), East Sussex (County), Localities:, Forest Row, Location (lat/lon):, 51.091820, 0.042270, Bounding Box:, NE 51.114910, 0.073810, SW 51.055222, -0.009460, , 
Framfield, Country: United Kingdom, WOEID: 20575, Administrative:, England (Country), East Sussex (County), Localities:, Framfield, Postal TN22 5 (Postal Code), Location (lat/lon):, 50.965149, 0.131070, Bounding Box:, NE 50.968739, 0.137640, SW 50.958832, 0.120400, , 
Frant, Country: United Kingdom, WOEID: 20598, Administrative:, England (Country), East Sussex (County), Localities:, Frant, Postal TN3 9 (Postal Code), Location (lat/lon):, 51.095070, 0.269470, Bounding Box:, NE 51.100658, 0.277120, SW 51.091560, 0.262640, , 
Friars Gate, Country: United Kingdom, WOEID: 20631, Administrative:, England (Country), East Sussex (County), Localities:, Friars Gate, Postal TN6 1 (Postal Code), Location (lat/lon):, 51.078499, 0.135480, Bounding Box:, NE 51.082249, 0.142390, SW 51.073151, 0.127930, , 
Friston, Country: United Kingdom, WOEID: 20656, Administrative:, England (Country), East Sussex (County), Localities:, Friston, Postal BN20 0 (Postal Code), Location (lat/lon):, 50.765018, 0.182310, Bounding Box:, NE 50.767910, 0.195390, SW 50.758808, 0.181010, , 
Furners Green, Country: United Kingdom, WOEID: 20742, Administrative:, England (Country), East Sussex (County), Localities:, Furners Green, Postal TN22 3 (Postal Code), Location (lat/lon):, 51.014919, 0.007900, Bounding Box:, NE 51.019501, 0.015130, SW 51.010399, 0.000670, , 
Golden Cross, Country: United Kingdom, WOEID: 21308, Administrative:, England (Country), East Sussex (County), Localities:, Golden Cross, Postal BN27 4 (Postal Code), Location (lat/lon):, 50.890831, 0.185030, Bounding Box:, NE 50.895729, 0.191060, SW 50.886631, 0.176640, , 
Groombridge, Country: United Kingdom, WOEID: 21948, Administrative:, England (Country), East Sussex (County), Localities:, Groombridge, Postal TN3 9 (Postal Code), Location (lat/lon):, 51.112782, 0.184410, Bounding Box:, NE 51.126942, 0.206380, SW 51.090260, 0.160570, , 
Gun Hill, Country: United Kingdom, WOEID: 22008, Administrative:, England (Country), East Sussex (County), Localities:, Gun Hill, Postal TN21 0 (Postal Code), Location (lat/lon):, 50.909580, 0.225700, Bounding Box:, NE 50.911850, 0.233210, SW 50.902748, 0.218790, , 
Hadlow Down, Country: United Kingdom, WOEID: 22116, Administrative:, England (Country), East Sussex (County), Localities:, Hadlow Down, Postal TN22 4 (Postal Code), Location (lat/lon):, 50.996059, 0.192010, Bounding Box:, NE 51.022099, 0.205420, SW 50.975922, 0.158630, , 
Hailsham, Country: United Kingdom, WOEID: 22137, Administrative:, England (Country), East Sussex (County), Localities:, Hailsham, Postal BN27 (Postal Code), Location (lat/lon):, 50.866840, 0.258500, Bounding Box:, NE 50.890770, 0.375990, SW 50.823292, 0.149510, , 
Halland, Country: United Kingdom, WOEID: 22187, Administrative:, England (Country), East Sussex (County), Localities:, Halland, Postal BN8 6 (Postal Code), Location (lat/lon):, 50.925400, 0.129810, Bounding Box:, NE 50.948360, 0.150130, SW 50.913010, 0.112340, , 
Hammerwood, Country: United Kingdom, WOEID: 22279, Administrative:, England (Country), East Sussex (County), Localities:, Hammerwood, Postal RH19 3 (Postal Code), Location (lat/lon):, 51.136929, 0.053510, Bounding Box:, NE 51.140751, 0.059340, SW 51.131649, 0.044860, , 
Hankham, Country: United Kingdom, WOEID: 22354, Administrative:, England (Country), East Sussex (County), Localities:, Hankham, Postal BN24 5 (Postal Code), Location (lat/lon):, 50.826481, 0.297400, Bounding Box:, NE 50.831570, 0.304670, SW 50.822472, 0.290270, , 
Hartfield, Country: United Kingdom, WOEID: 22533, Administrative:, England (Country), East Sussex (County), Localities:, Hartfield, Postal TN7 4 (Postal Code), Location (lat/lon):, 51.103958, 0.111710, Bounding Box:, NE 51.133770, 0.167960, SW 51.058491, 0.045810, , 
Heathfield, Country: United Kingdom, WOEID: 22872, Administrative:, England (Country), East Sussex (County), Localities:, Heathfield, Location (lat/lon):, 50.966721, 0.251130, Bounding Box:, NE 51.007259, 0.408460, SW 50.890270, 0.179160, , 
Hellingly, Country: United Kingdom, WOEID: 22949, Administrative:, England (Country), East Sussex (County), Localities:, Hellingly, Postal BN27 4 (Postal Code), Location (lat/lon):, 50.888432, 0.258680, Bounding Box:, NE 50.896111, 0.260170, SW 50.877491, 0.232550, , 
Herons Ghyll, Country: United Kingdom, WOEID: 23084, Administrative:, England (Country), East Sussex (County), Localities:, Herons Ghyll, Postal TN22 4 (Postal Code), Location (lat/lon):, 51.021622, 0.110460, Bounding Box:, NE 51.027512, 0.117870, SW 51.018410, 0.103410, , 
Herstmonceux, Country: United Kingdom, WOEID: 23096, Administrative:, England (Country), East Sussex (County), Localities:, Herstmonceux, Postal BN27 (Postal Code), Location (lat/lon):, 50.889332, 0.322430, Bounding Box:, NE 50.902248, 0.333320, SW 50.861912, 0.309610, , 
High Hurstwood, Country: United Kingdom, WOEID: 23231, Administrative:, England (Country), East Sussex (County), Localities:, High Hurstwood, Postal TN22 4 (Postal Code), Location (lat/lon):, 51.017948, 0.132270, Bounding Box:, NE 51.024368, 0.135880, SW 51.015270, 0.121420, , 
Horam, Country: United Kingdom, WOEID: 23878, Administrative:, England (Country), East Sussex (County), Localities:, Horam, Postal TN21 0 (Postal Code), Location (lat/lon):, 50.933762, 0.243080, Bounding Box:, NE 50.945171, 0.254040, SW 50.926289, 0.232470, , 
Horney Common, Country: United Kingdom, WOEID: 23911, Administrative:, England (Country), East Sussex (County), Localities:, Horney Common, Postal TN22 3 (Postal Code), Location (lat/lon):, 51.011909, 0.075360, Bounding Box:, NE 51.017349, 0.078120, SW 51.008251, 0.063680, , 
Horsebridge, Country: United Kingdom, WOEID: 23929, Administrative:, England (Country), East Sussex (County), Localities:, Horsebridge, Postal BN27 3 (Postal Code), Location (lat/lon):, 50.866699, 0.233300, Bounding Box:, NE 50.871250, 0.240500, SW 50.862148, 0.226100, , 
Isfield, Country: United Kingdom, WOEID: 24549, Administrative:, England (Country), East Sussex (County), Localities:, Isfield, Postal TN22 5 (Postal Code), Location (lat/lon):, 50.935131, 0.065660, Bounding Box:, NE 50.960720, 0.086650, SW 50.913879, 0.045180, , 
Jevington, Country: United Kingdom, WOEID: 24636, Administrative:, England (Country), East Sussex (County), Localities:, Jevington, Postal BN26 5 (Postal Code), Location (lat/lon):, 50.790699, 0.215620, Bounding Box:, NE 50.795559, 0.222900, SW 50.786461, 0.208520, , 
Laughton, Country: United Kingdom, WOEID: 25881, Administrative:, England (Country), East Sussex (County), Localities:, Laughton, Postal BN8 6 (Postal Code), Location (lat/lon):, 50.898361, 0.134540, Bounding Box:, NE 50.913342, 0.153350, SW 50.873680, 0.104630, , 
Lions Green, Country: United Kingdom, WOEID: 26346, Administrative:, England (Country), East Sussex (County), Localities:, Lions Green, Postal TN21 0 (Postal Code), Location (lat/lon):, 50.944210, 0.218680, Bounding Box:, NE 50.946152, 0.228410, SW 50.937050, 0.213990, , 
Litlington, Country: United Kingdom, WOEID: 26366, Administrative:, England (Country), East Sussex (County), Localities:, Litlington, Postal BN26 5 (Postal Code), Location (lat/lon):, 50.794350, 0.159420, Bounding Box:, NE 50.799061, 0.166690, SW 50.789959, 0.152310, , 
Little Horsted, Country: United Kingdom, WOEID: 26524, Administrative:, England (Country), East Sussex (County), Localities:, Little Horsted, Postal TN22 5 (Postal Code), Location (lat/lon):, 50.945911, 0.091630, Bounding Box:, NE 50.963242, 0.112870, SW 50.917820, 0.069900, , 
Little London, Country: United Kingdom, WOEID: 26555, Administrative:, England (Country), East Sussex (County), Localities:, Little London, Postal TN21 0 (Postal Code), Location (lat/lon):, 50.957520, 0.234780, Bounding Box:, NE 50.960609, 0.241400, SW 50.951511, 0.226960, , 
Lower Dicker, Country: United Kingdom, WOEID: 27681, Administrative:, England (Country), East Sussex (County), Localities:, Lower Dicker, Postal BN27 4 (Postal Code), Location (lat/lon):, 50.882889, 0.212320, Bounding Box:, NE 50.888870, 0.214630, SW 50.879768, 0.200230, , 
Lower Horsebridge, Country: United Kingdom, WOEID: 27730, Administrative:, England (Country), East Sussex (County), Localities:, Lower Horsebridge, Postal BN27 4 (Postal Code), Location (lat/lon):, 50.881222, 0.239590, Bounding Box:, NE 50.885799, 0.248320, SW 50.876701, 0.233920, , 
Lullington, Country: United Kingdom, WOEID: 27951, Administrative:, England (Country), East Sussex (County), Localities:, Lullington, Postal BN26 5 (Postal Code), Location (lat/lon):, 50.803841, 0.163070, Bounding Box:, NE 50.808048, 0.173090, SW 50.798950, 0.158710, , 
Magham Down, Country: United Kingdom, WOEID: 28147, Administrative:, England (Country), East Sussex (County), Localities:, Magham Down, Postal BN27 1 (Postal Code), Location (lat/lon):, 50.879349, 0.288440, Bounding Box:, NE 50.884201, 0.290570, SW 50.875099, 0.276170, , 
Maresfield, Country: United Kingdom, WOEID: 28319, Administrative:, England (Country), East Sussex (County), Localities:, Maresfield, Postal TN22 2 (Postal Code), Location (lat/lon):, 50.997662, 0.083540, Bounding Box:, NE 51.008072, 0.093230, SW 50.984680, 0.070590, , 
Mark Cross, Country: United Kingdom, WOEID: 28340, Administrative:, England (Country), East Sussex (County), Localities:, Mark Cross, Postal TN6 3 (Postal Code), Location (lat/lon):, 51.060379, 0.257960, Bounding Box:, NE 51.065071, 0.265310, SW 51.055969, 0.250850, , 
Marle Green, Country: United Kingdom, WOEID: 28372, Administrative:, England (Country), East Sussex (County), Localities:, Marle Green, Postal TN21 9 (Postal Code), Location (lat/lon):, 50.924709, 0.260890, Bounding Box:, NE 50.931850, 0.267110, SW 50.922749, 0.252690, , 
Mayfield, Country: United Kingdom, WOEID: 28574, Administrative:, England (Country), East Sussex (County), Localities:, Mayfield, Location (lat/lon):, 51.019192, 0.263070, Bounding Box:, NE 51.050850, 0.332830, SW 50.982380, 0.180860, , 
Maynard's Green, Country: United Kingdom, WOEID: 28580, Administrative:, England (Country), East Sussex (County), Localities:, Maynard's Green, Postal TN21 0 (Postal Code), Location (lat/lon):, 50.947689, 0.249990, Bounding Box:, NE 50.949131, 0.257370, SW 50.940029, 0.242950, , 
Milton Street, Country: United Kingdom, WOEID: 29073, Administrative:, England (Country), East Sussex (County), Localities:, Milton Street, Postal BN26 5 (Postal Code), Location (lat/lon):, 50.815571, 0.176600, Bounding Box:, NE 50.820499, 0.182520, SW 50.811501, 0.168280, , 
Moseham, Country: United Kingdom, WOEID: 29400, Administrative:, England (Country), East Sussex (County), Localities:, Moseham, Postal TN5 6 (Postal Code), Location (lat/lon):, 51.055439, 0.346830, Bounding Box:, NE 51.058750, 0.354630, SW 51.049648, 0.340170, , 
Mulbrooks, Country: United Kingdom, WOEID: 29548, Administrative:, England (Country), East Sussex (County), Localities:, Mulbrooks, Postal BN27 2 (Postal Code), Location (lat/lon):, 50.842602, 0.256200, Bounding Box:, NE 50.848751, 0.264500, SW 50.839649, 0.250100, , 
Nutley, Country: United Kingdom, WOEID: 30761, Administrative:, England (Country), East Sussex (County), Localities:, Nutley, Postal TN22 3 (Postal Code), Location (lat/lon):, 51.032261, 0.057880, Bounding Box:, NE 51.058270, 0.075380, SW 51.010769, 0.032980, , 
Old Heathfield, Country: United Kingdom, WOEID: 30925, Administrative:, England (Country), East Sussex (County), Localities:, Old Heathfield, Postal TN21 9 (Postal Code), Location (lat/lon):, 50.960339, 0.274550, Bounding Box:, NE 50.963249, 0.283320, SW 50.954151, 0.268880, , 
Pell Green, Country: United Kingdom, WOEID: 31590, Administrative:, England (Country), East Sussex (County), Localities:, Pell Green, Postal TN5 6 (Postal Code), Location (lat/lon):, 51.074841, 0.349850, Bounding Box:, NE 51.076248, 0.352230, SW 51.067150, 0.337770, , 
Pell Hill, Country: United Kingdom, WOEID: 31591, Administrative:, England (Country), East Sussex (County), Localities:, Pell Hill, Postal TN5 6 (Postal Code), Location (lat/lon):, 51.066898, 0.342400, Bounding Box:, NE 51.071449, 0.349630, SW 51.062351, 0.335170, , 
Pevensey, Country: United Kingdom, WOEID: 31963, Administrative:, England (Country), East Sussex (County), Localities:, Pevensey, Postal BN24 (Postal Code), Location (lat/lon):, 50.821239, 0.341320, Bounding Box:, NE 50.842281, 0.397910, SW 50.799019, 0.266600, , 
Pevensey Bay, Country: United Kingdom, WOEID: 31964, Administrative:, England (Country), East Sussex (County), Localities:, Pevensey Bay, Postal BN24 (Postal Code), Location (lat/lon):, 50.819401, 0.366750, Bounding Box:, NE 50.840549, 0.397910, SW 50.799019, 0.333750, , 
Piltdown, Country: United Kingdom, WOEID: 32034, Administrative:, England (Country), East Sussex (County), Localities:, Piltdown, Postal TN22 3 (Postal Code), Location (lat/lon):, 50.983681, 0.064160, Bounding Box:, NE 50.988548, 0.064720, SW 50.979450, 0.050280, , 
Polegate, Country: United Kingdom, WOEID: 32210, Administrative:, England (Country), East Sussex (County), Localities:, Polegate, Location (lat/lon):, 50.817699, 0.243910, Bounding Box:, NE 50.890732, 0.287910, SW 50.777359, 0.102350, , 
Poundgate, Country: United Kingdom, WOEID: 32508, Administrative:, England (Country), East Sussex (County), Localities:, Poundgate, Postal TN22 4 (Postal Code), Location (lat/lon):, 51.038509, 0.119730, Bounding Box:, NE 51.043049, 0.126960, SW 51.033951, 0.112500, , 
Primmers Green, Country: United Kingdom, WOEID: 32615, Administrative:, England (Country), East Sussex (County), Localities:, Primmers Green, Postal TN5 6 (Postal Code), Location (lat/lon):, 51.068802, 0.338200, Bounding Box:, NE 51.073349, 0.345430, SW 51.064251, 0.330970, , 
Punnett's Town, Country: United Kingdom, WOEID: 32678, Administrative:, England (Country), East Sussex (County), Localities:, Punnett's Town, Postal TN21 9 (Postal Code), Location (lat/lon):, 50.960098, 0.312830, Bounding Box:, NE 50.987049, 0.323120, SW 50.950249, 0.302710, , 
Pyecombe, Country: United Kingdom, WOEID: 32721, Administrative:, England (Country), East Sussex (County), Localities:, Pyecombe, Postal BN27 3 (Postal Code), Location (lat/lon):, 50.883301, 0.166700, Bounding Box:, NE 50.887852, 0.173900, SW 50.878750, 0.159500, , 
Rickney, Country: United Kingdom, WOEID: 33296, Administrative:, England (Country), East Sussex (County), Localities:, Rickney, Postal BN27 1 (Postal Code), Location (lat/lon):, 50.838970, 0.308670, Bounding Box:, NE 50.844749, 0.314600, SW 50.835651, 0.300200, , 
Ridgewood, Country: United Kingdom, WOEID: 33310, Administrative:, England (Country), East Sussex (County), Localities:, Ridgewood, Postal TN22 5 (Postal Code), Location (lat/lon):, 50.955219, 0.099100, Bounding Box:, NE 50.960361, 0.106390, SW 50.951260, 0.091950, , 
Ripe, Country: United Kingdom, WOEID: 33353, Administrative:, England (Country), East Sussex (County), Localities:, Ripe, Postal BN8 6 (Postal Code), Location (lat/lon):, 50.870522, 0.145320, Bounding Box:, NE 50.875301, 0.152590, SW 50.866199, 0.138190, , 
Rosers Cross, Country: United Kingdom, WOEID: 33555, Administrative:, England (Country), East Sussex (County), Localities:, Rosers Cross, Postal TN21 0 (Postal Code), Location (lat/lon):, 50.964420, 0.207120, Bounding Box:, NE 50.968971, 0.214330, SW 50.959869, 0.199890, , 
